facility_name,facility_code,unit_code,power_mw,emissions_t,timestamp,lat,lon
Adelaide Desalination,ADP,ADPBA1,-0.005,0.0,2026-05-09 00:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.027,0.0,2026-05-09 00:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.008,0.0,2026-05-09 00:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.071,0.0,2026-05-09 00:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.009,0.0,2026-05-09 00:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.014,0.0,2026-05-09 00:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.021,0.0,2026-05-09 00:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.041,0.0,2026-05-09 00:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.016,0.0,2026-05-09 00:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.06,0.0,2026-05-09 00:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.002,0.0,2026-05-09 00:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09 00:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.027,0.0,2026-05-09 01:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.118,0.0,2026-05-09 01:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.027,0.0,2026-05-09 01:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.039,0.0,2026-05-09 01:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.012,0.0,2026-05-09 01:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.016,0.0,2026-05-09 01:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.037,0.0,2026-05-09 01:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09 01:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.124,0.0,2026-05-09 01:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.002,0.0,2026-05-09 01:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.006,0.0,2026-05-09 01:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09 01:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09 02:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.003,0.0,2026-05-09 02:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09 02:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09 02:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.013,0.0,2026-05-09 02:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.016,0.0,2026-05-09 02:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09 02:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.03,0.0,2026-05-09 02:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.942,0.0,2026-05-09 02:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.042,0.0,2026-05-09 02:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.029,0.0,2026-05-09 02:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.005,0.0,2026-05-09 02:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.007,0.0,2026-05-09 03:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.07,0.0,2026-05-09 03:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.11,0.0,2026-05-09 03:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09 03:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09 03:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.013,0.0,2026-05-09 03:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.021,0.0,2026-05-09 03:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.018,0.0,2026-05-09 03:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.043,0.0,2026-05-09 03:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.047,0.0,2026-05-09 03:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.042,0.0,2026-05-09 03:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.003,0.0,2026-05-09 03:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.037,0.0,2026-05-09 04:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.028,0.0,2026-05-09 04:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.017,0.0,2026-05-09 04:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.035,0.0,2026-05-09 04:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.063,0.0,2026-05-09 04:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.016,0.0,2026-05-09 04:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.084,0.0,2026-05-09 04:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.114,0.0,2026-05-09 04:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.017,0.0,2026-05-09 04:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.003,0.0,2026-05-09 04:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.027,0.0,2026-05-09 04:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.024,0.0,2026-05-09 04:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09 05:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.119,0.0,2026-05-09 05:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.056,0.0,2026-05-09 05:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.009,0.0,2026-05-09 05:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.022,0.0,2026-05-09 05:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.048,0.0,2026-05-09 05:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09 05:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09 05:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.061,0.0,2026-05-09 05:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.079,0.0,2026-05-09 05:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.048,0.0,2026-05-09 05:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.047,0.0,2026-05-09 05:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.092,0.0,2026-05-09 06:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.111,0.0,2026-05-09 06:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.065,0.0,2026-05-09 06:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.023,0.0,2026-05-09 06:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.141,0.0,2026-05-09 06:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09 06:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,1.805,0.0,2026-05-09 06:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,3.779,0.0,2026-05-09 06:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.448,0.0,2026-05-09 06:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.005,0.0,2026-05-09 06:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.003,0.0,2026-05-09 06:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.017,0.0,2026-05-09 06:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.004,0.0,2026-05-09 07:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.004,0.0,2026-05-09 07:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.011,0.0,2026-05-09 07:10:00+10:00,-35.100751,138.483357
