facility_name,facility_code,unit_code,power_mw,emissions_t,timestamp,lat,lon
Adelaide Desalination,ADP,ADPBA1,-0.005,0.0,2026-05-09T00:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.027,0.0,2026-05-09T00:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.008,0.0,2026-05-09T00:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.071,0.0,2026-05-09T00:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.009,0.0,2026-05-09T00:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.014,0.0,2026-05-09T00:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.021,0.0,2026-05-09T00:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.041,0.0,2026-05-09T00:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.016,0.0,2026-05-09T00:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.06,0.0,2026-05-09T00:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.002,0.0,2026-05-09T00:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09T00:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.027,0.0,2026-05-09T01:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.118,0.0,2026-05-09T01:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.027,0.0,2026-05-09T01:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.039,0.0,2026-05-09T01:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.012,0.0,2026-05-09T01:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.016,0.0,2026-05-09T01:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.037,0.0,2026-05-09T01:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09T01:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.124,0.0,2026-05-09T01:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.002,0.0,2026-05-09T01:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.006,0.0,2026-05-09T01:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09T01:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.002,0.0,2026-05-09T02:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.003,0.0,2026-05-09T02:05:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09T02:10:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.001,0.0,2026-05-09T02:15:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.013,0.0,2026-05-09T02:20:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.016,0.0,2026-05-09T02:25:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.003,0.0,2026-05-09T02:30:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.03,0.0,2026-05-09T02:35:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.942,0.0,2026-05-09T02:40:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.042,0.0,2026-05-09T02:45:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.029,0.0,2026-05-09T02:50:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.005,0.0,2026-05-09T02:55:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,0.007,0.0,2026-05-09T03:00:00+10:00,-35.100751,138.483357
Adelaide Desalination,ADP,ADPBA1,-0.07,0.0,2026-05-09T03:05:00+10:00,-35.100751,138.483357
